id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
872334269004776154,"1 bed/kitchen, 7 minutes to T",40995423,Bonnie,,Dorchester,42.31936111146322,-71.0576935235636,Entire home/apt,124,31,4,2024-04-20,0.25,9,361,2,
872960760667370862,"Blueground | S End, w/d & gym, nr groceries",107434423,Blueground,,South End,42.3439382,-71.0638329,Entire home/apt,278,32,0,,,355,272,0,
873108519560457453,Boston Private Modern Bedroom in Boston,171686913,Hunter,,Dorchester,42.32559302254661,-71.06458680647637,Private room,99,29,20,2024-08-31,1.24,2,155,7,STR-544842
873427799280359314,Spacious and Modern 3-Bed Apt in Vibrant Boston,163848078,Adam,,Dorchester,42.324821263136464,-71.06147890308003,Entire home/apt,281,29,0,,,53,364,0,STR-746395
873477040969697726,Spacious Apt - Newly Renovated - Private Parking!,510884157,Jock,,Dorchester,42.30334594057655,-71.07435094470186,Entire home/apt,,1,73,2024-08-25,5.52,1,0,59,STR-524577
873655282217473344,"Blueground | S End, rooftop & gym, nr dining",107434423,Blueground,,South End,42.3452369,-71.0639399,Entire home/apt,263,32,0,,,355,261,0,
873658297449445896,"Blueground | South Boston, w/d, nr carson Bbeach",107434423,Blueground,,South Boston,42.3311374,-71.0469214,Entire home/apt,178,32,1,2023-09-01,0.08,355,110,0,
873911041827061745,South End Stunner/walk to hynes convention center,2881238,Jacquelyn,,South End,42.34268619963691,-71.07805605844173,Entire home/apt,1279,3,15,2024-07-30,1.11,1,141,12,STR-418362
874157788088023652,Ideal for long stays | Chic downtown glass suite,416027128,R Living,,Brighton,42.3469948,-71.1452694,Entire home/apt,184,29,9,2024-01-29,0.54,20,262,1,STR-569345
874694577253994413,Quiet city home minutes to downtown,131944063,Kathleen,,Dorchester,42.3174128778811,-71.05315949767828,Entire home/apt,319,2,46,2024-08-19,2.87,1,27,27,STR-524854
875616931050269215,Private Double Bedroom in Beacon Hill,80104460,Peter,,Beacon Hill,42.360177705013044,-71.06564076074733,Private room,162,2,82,2024-09-17,5.04,3,319,65,STR-519747
